Frequency (Hz),MTF_10HU,MTF_30HU,MTF_50HU
0.7169117647058824,0.051430916879554436,0.08743275800527356,0.10181582995410804
0.7181372549019608,0.05102339446483777,0.08684842285375632,0.10117189345805129
0.7193627450980392,0.0506188753874839,0.08626760942220174,0.10053157874734622
0.7205882352941176,0.05021733997141012,0.08569030002501489,0.09989486930825149
0.7218137254901961,0.04981876863878667,0.0851164770251084,0.09926174865886128
0.7230392156862745,0.04942314190993819,0.08454612283425807,0.09863220034956602
0.7242647058823529,0.04903044040323956,0.08397921991345096,0.09800620796350522
0.7254901960784313,0.048640644835004264,0.08341575077322427,0.0973837551170123
0.7267156862745098,0.04825373601936798,0.08285569797399747,0.09676482546005075
0.7279411764705882,0.04786969486816601,0.08229904412639608,0.09614940267664344
0.7291666666666666,0.04748850239080415,0.08174577189156743,0.09553747048529311
0.7303921568627451,0.04711013969412477,0.081195863981489,0.09492901263939549
0.7316176470588235,0.046734587982267345,0.0806493031592693,0.09432401292764497
0.7328431372549019,0.046361828556521996,0.08010607223944083,0.09372245517443238
0.7340686274509803,0.045991842815179984,0.07956615408824584,0.09312432324023479
0.7352941176470589,0.04562461225337694,0.0790295316239146,0.0925296010219991
0.7365196078431373,0.04526011846293213,0.07849618781693689,0.0919382724535164
0.7377450980392157,0.04489834313218165,0.07796610569032526,0.09135032150579102
0.7389705882352942,0.04453926804580776,0.07743926831987258,0.09076573218740032
0.7401960784313726,0.04418287508466264,0.07691565883440124,0.09018448854484892
0.741421568627451,0.04382914622558699,0.0763952604160062,0.08960657466291519
0.7426470588235294,0.043478063541225055,0.07587805630029125,0.08903197466498981
0.7438725490196079,0.04312960919983371,0.07536402977659766,0.08846067271340916
0.7450980392156863,0.04278376546508871,0.07485316418822717,0.08789265300978018
0.7463235294117647,0.04244051469588438,0.07434544293265774,0.08732789979529927
0.7475490196078431,0.04209983934613083,0.0738408494617527,0.08676639735106408
0.7487745098039216,0.04176172196454607,0.07333936728196393,0.08620812999837835
0.75,0.0414261451944442,0.07284097995452839,0.08565308209905105
0.7512254901960784,0.04109309177351912,0.07234567109565772,0.08510123805568783
0.7524509803921569,0.040762544533624885,0.0718534243767231,0.08455258231197633
0.7536764705882353,0.04043448640055172,0.07136422352443228,0.08400709935296567
0.7549019607843137,0.04010890039379802,0.07087805232100147,0.08346477370533845
0.7561274509803921,0.03978576962633963,0.07039489460432147,0.08292558993767753
0.7573529411764706,0.039465077304393976,0.0699147342681169,0.08238953266072593
0.758578431372549,0.03914680672718171,0.06943755526210013,0.08185658652764036
0.7598039215686274,0.038830941286684545,0.0689633415921197,0.08132673623423958
0.7610294117647058,0.03851746446739953,0.06849207732030231,0.08079996651924545
0.7622549019607843,0.038206359846090096,0.06802374656518993,0.08027626216451934
0.7634803921568627,0.03789761109153343,0.06755833350187074,0.07975560799529131
0.7647058823529411,0.03759120196426573,0.0670958223621044,0.07923798888038465
0.7659313725490197,0.0372871163163229,0.06663619743444311,0.07872338973243326
0.7671568627450981,0.03698533809097902,0.06617944306434546,0.07821179550809504
0.7683823529411765,0.03668585132248191,0.06572554365428644,0.07770319120825771
0.7696078431372549,0.03638864013578506,0.06527448366386196,0.0771975618782407
0.7708333333333334,0.03609368874627759,0.0648262476098871,0.0766948926079904
0.7720588235294118,0.035800981459510633,0.06438082006649104,0.07619516853227026
0.7732843137254902,0.03551050267092152,0.06393818566520518,0.07569837483084575
0.7745098039215687,0.03522223686555515,0.06349832909504771,0.07520449672866356
0.7757352941176471,0.034936168617782586,0.06306123510260256,0.0747135194960255
0.7769607843137255,0.034652282591017214,0.06262688849209308,0.07422542844875753
0.7781862745098039,0.03437056353742866,0.062195274125452386,0.07374020894837355
0.7794117647058824,0.03409099629765429,0.061766376922387116,0.07325784640223336
0.7806372549019608,0.03381356580050742,0.0613401818604382,0.07277832626369674
0.7818627450980392,0.03353825706268497,0.06091667397503587,0.07230163403227154
0.7830882352941176,0.03326505518847132,0.060495838359550726,0.07182775525375729
0.7843137254901961,0.032993945369440655,0.060077660165340385,0.07135667552038381
0.7855392156862745,0.03272491288415744,0.059662124601790795,0.07088838047094495
0.7867647058823529,0.03245794309787418,0.059249216936354966,0.07042285579092776
0.7879901960784313,0.0321930214622278,0.05883892249458516,0.06996008721263665
